Species,Length,Weight
Bream,25.4,242
Bream,26.3,290
Bream,26.5,340
Bream,29,363
Bream,29,430
Bream,29.7,450
Bream,29.7,500
Bream,30,390
Bream,30,450
Bream,30.7,500
Bream,31,475
Bream,31,500
Bream,31.5,500
Bream,32,340
Bream,32,600
Bream,32,600
Bream,33,700
Bream,33,700
Bream,33.5,610
Bream,33.5,650
Bream,34,575
Bream,34,685
Bream,34.5,620
Bream,35,680
Bream,35,700
Bream,35,725
Bream,35,720
Bream,36,714
Bream,36,850
Bream,37,1000
Bream,38.5,920
Bream,38.5,955
Bream,39.5,925
Bream,41,975
Bream,41,950
Smelt,9.8,6.7
Smelt,10.5,7.5
Smelt,10.6,7
Smelt,11,9.7
Smelt,11.2,9.8
Smelt,11.3,8.7
Smelt,11.8,10
Smelt,11.8,9.9
Smelt,12,9.8
Smelt,12.2,12.2
Smelt,12.4,13.4
Smelt,13,12.2
Smelt,14.3,19.7
Smelt,15,19.9
