length,height,width,weight
8.4,2.11,1.41,5.9
13.7,3.53,2,32
15,3.82,2.43,40
16.2,4.59,2.63,51.5
17.4,4.59,2.94,70
18,5.22,3.32,100
18.7,5.2,3.12,78
19,5.64,3.05,80
19.6,5.14,3.04,85
20,5.08,2.77,85
21,5.69,3.56,110
21,5.92,3.31,115
21,5.69,3.67,125
21.3,6.38,3.53,130
22,6.11,3.41,120
22,5.64,3.52,120
22,6.11,3.52,130
22,5.88,3.52,135
22,5.52,4,110
22.5,5.86,3.62,130
22.5,6.79,3.62,150
22.7,5.95,3.63,145
23,5.22,3.63,150
23.5,6.28,3.72,170
24,7.29,3.72,225
24,6.38,3.82,145
24.6,6.73,4.17,188
25,6.44,3.68,180
25.6,6.56,4.24,197
26.5,7.17,4.14,218
27.3,8.32,5.14,300
27.5,7.17,4.34,260
27.5,7.05,4.34,265
27.5,7.28,4.57,250
28,7.82,4.2,250
28.7,7.59,4.64,300
30,7.62,4.77,320
32.8,10.03,6.02,514
34.5,10.26,6.39,556
35,11.49,7.8,840
36.5,10.88,6.86,685
36,10.61,6.74,700
37,10.84,6.26,700
37,10.57,6.37,690
39,11.14,7.49,900
39,11.14,6,650
39,12.43,7.35,820
40,11.93,7.11,850
40,11.73,7.22,900
40,12.38,7.46,1015
40,11.14,6.63,820
42,12.8,6.87,1100
43,11.93,7.28,1000
43,12.51,7.42,1100
43.5,12.6,8.14,1000
44,12.49,7.6,1000
