LOT번호,검사차수,작업명,공정코드,설비번호,단위중량(kg),투입중량(kg),염색길이(m),투입중량/길이,투입중량/액량,공정진행시간(%),지시온도,진행온도,포속1,포속2,포속3,포속4,염색색차 DE,불량여부
F2203280005,0,원단검사,F12-1203,FCM08,324.0,38.8,96.0,0.4041666666666666,0.0387999999999999,23.41,133.1,133.2,74,73,72,20,0.2916726,0
F2203280005,0,원단검사,F12-1203,FCM08,324.0,38.8,96.0,0.4041666666666666,0.0387999999999999,21.88,126.3,127.1,73,68,146,18,0.2916726,0
F2208120067,0,원단검사,F12-1203,FCM08,460.0,46.4,3.0,15.466666666666669,0.0464,83.4,98.4,97.9,62,202,62,82,1.068646,0
F2208090010,1,염색,F12-1203,FCM08,800.0,66.0,75.0,0.88,0.066,77.54,130.0,129.8,30,537,27,483,0.3451779,0
F2206100035,0,원단검사,F12-1203,FCM05,460.0,111.0,115.0,0.9652173913043478,0.0555,72.7,124.1,123.1,136,105,2305,9,17.20203,1
F2207250110,0,염색,F12-1203,FCM15,146.0,189.1,1600.0,0.1181875,0.047275,96.31,30.0,38.1,123,137,116,164,0.4288969,0
F2208030137,0,원단검사,F12-1203,FCM08,480.0,82.4,128.0,0.64375,0.0824,15.82,40.0,40.4,4,50,50,47,2.207412,0
F2206160104,0,원단검사,F12-1203,FCM05,625.0,155.4,34.0,4.570588235294117,0.0777,34.68,100.0,99.9,71,56,68,42,0.9041876,0
F2203240259,QC,원단검사,F12-1203,FCM12,495.0,43.6,2.0,21.8,0.0726666666666666,54.49,70.0,69.3,104,131,0,0,1.600976,0
F2204080072,0,원단검사,F12-1203,FCM05,450.0,129.0,92.0,1.4021739130434785,0.0645,11.02,80.1,81.6,86,31,84,18,1.000596,0
F2207110011,0,원단검사,F12-1203,FCM08,625.0,83.3,12.0,6.941666666666666,0.0833,17.3,90.4,90.5,76,30,76,16,0.3981313,0
F2208020100,0,염색,F12-1203,FCM06,314.0,99.2,300.0,0.3306666666666666,0.0496,51.3,120.0,119.8,43,154,70,90,0.4474733,0
F2207010034,0,염색,F12-1203,FCM06,314.0,98.8,300.0,0.3293333333333333,0.0494,83.77,89.3,89.0,69,235,68,135,0.5957398,0
F2208120070,0,원단검사,F12-1203,FCM08,460.0,51.5,36.0,1.4305555555555556,0.0515,3.98,59.4,59.3,70,15,372,5,0.8660321,0
F2208290102,0,원단검사,F12-1203,FCM11,604.0,306.6,600.0,0.511,0.07665,66.47,110.2,110.2,71,84,78,87,3.03364,1
F2208120022,0,원단검사,F12-1203,FCM05,536.0,184.9,84.0,2.2011904761904764,0.09245,79.4,129.7,129.8,108,177,113,111,1.057401,0
F2203030280,0,원단검사,F12-1203,FCM08,324.0,66.2,31.0,2.135483870967742,0.0662,45.4,93.8,93.1,14,217,56,154,0.8130776,0
F2207010034,0,염색,F12-1203,FCM06,314.0,98.8,300.0,0.3293333333333333,0.0494,29.82,95.0,94.8,42,81,68,46,0.5957398,0
F2209010103,0,원단검사,F12-1203,FCM11,604.0,208.7,550.0,0.3794545454545454,0.052175,31.58,100.0,99.7,53,52,48,54,1.265589,0
F2202160033,0,원단검사,F12-1203,FCM06,320.0,162.0,500.0,0.324,0.081,97.32,30.0,29.8,129,213,120,125,1.815297,0
F2208020071,0,원단검사,F12-1203,FCM12,350.0,35.6,13.0,2.7384615384615385,0.0593333333333333,84.77,115.0,113.3,91,348,0,0,11.56194,1
F2207080049,0,원단검사,F12-1203,FCM08,450.0,95.8,72.0,1.3305555555555555,0.0958,38.39,84.1,84.5,55,252,49,226,1.355596,0
F2207110011,0,원단검사,F12-1203,FCM08,625.0,83.3,12.0,6.941666666666666,0.0833,58.48,70.0,67.5,73,121,74,40,0.3981313,0
F2207250109,0,염색,F12-1203,FCM15,146.0,188.4,1600.0,0.11775,0.0471,22.64,60.0,60.4,137,22,131,32,0.5068955,0
F2208120070,0,원단검사,F12-1203,FCM08,460.0,51.5,36.0,1.4305555555555556,0.0515,38.81,78.1,78.7,7,193,3,81,0.8660321,0
F2208080026,0,원단검사,F12-1203,FCM06,320.0,108.2,343.0,0.3154518950437318,0.0541,23.1,94.4,94.1,15,69,82,44,2.006101,0
F2207280313,0,원단검사,F12-1203,FCM05,536.0,168.4,16.0,10.525,0.0842,88.67,79.0,79.5,77,233,92,193,2.792194,0
F2204080072,0,원단검사,F12-1203,FCM05,450.0,129.0,92.0,1.4021739130434785,0.0645,13.39,89.2,91.6,49,39,86,24,1.000596,0
F2203080148,0,원단검사,F12-1203,FCM07,580.0,264.5,413.0,0.6404358353510896,0.066125,41.41,108.6,106.5,180,61,81,68,3.708582,1
F2203110062,QC,원단검사,F12-1203,FCM08,294.0,76.2,11.0,6.927272727272728,0.0762,55.92,121.1,120.7,69,85,73,77,0.08812822,0
F2207280313,0,원단검사,F12-1203,FCM05,536.0,168.4,16.0,10.525,0.0842,79.94,130.0,130.6,95,215,92,175,2.792194,0
F2207080049,0,원단검사,F12-1203,FCM08,450.0,95.8,72.0,1.3305555555555555,0.0958,17.86,123.2,123.5,56,117,34,100,1.355596,0
F2208110087,0,원단검사,F12-1203,FCM05,620.0,189.8,266.0,0.7135338345864662,0.0949,93.11,55.1,55.6,42,244,89,182,0.3338742,0
F2202210054,0,염색,F12-1203,FCM06,314.0,113.8,350.0,0.3251428571428571,0.0569,0.82,30.0,38.2,0,0,0,0,0.3047607,0
F2202210108,0,원단검사,F12-1203,FCM05,560.0,199.5,111.0,1.7972972972972974,0.09975,74.13,116.6,118.2,109,172,125,82,3.457263,1
F2208020100,0,염색,F12-1203,FCM06,314.0,99.2,300.0,0.3306666666666666,0.0496,54.78,113.7,113.4,13,166,69,97,0.4474733,0
F2204290026,0,원단검사,F12-1203,FCM08,560.0,55.8,10.0,5.58,0.0557999999999999,61.99,77.6,77.4,52,281,4,82,2.042118,0
F2206100035,0,원단검사,F12-1203,FCM05,460.0,111.0,115.0,0.9652173913043478,0.0555,22.39,111.5,111.4,134,29,2175,1,17.20203,1
F2208020071,0,원단검사,F12-1203,FCM12,350.0,35.6,13.0,2.7384615384615385,0.0593333333333333,0.29,30.0,29.1,0,0,0,0,11.56194,1
F2208260029,0,원단검사,F12-1203,FCM11,604.0,258.8,400.0,0.647,0.0647,71.49,130.0,129.8,64,147,66,170,2.080513,0
