단위중량(kg),투입중량(kg),염색길이(m),투입중량/길이,투입중량/액량,공정진행시간(%),진행온도,포속1,포속3,포속4,염색색차 DE
324.0,38.8,96.0,0.4041666666666666,0.0387999999999999,23.41,133.2,74,72,20,0.2916726
324.0,38.8,96.0,0.4041666666666666,0.0387999999999999,21.88,127.1,73,146,18,0.2916726
460.0,46.4,3.0,15.466666666666669,0.0464,83.4,97.9,62,62,82,1.068646
800.0,66.0,75.0,0.88,0.066,77.54,129.8,30,27,483,0.3451779
460.0,111.0,115.0,0.9652173913043478,0.0555,72.7,123.1,136,2305,9,17.20203
146.0,189.1,1600.0,0.1181875,0.047275,96.31,38.1,123,116,164,0.4288969
480.0,82.4,128.0,0.64375,0.0824,15.82,40.4,4,50,47,2.207412
625.0,155.4,34.0,4.570588235294117,0.0777,34.68,99.9,71,68,42,0.9041876
495.0,43.6,2.0,21.8,0.0726666666666666,54.49,69.3,104,0,0,1.600976
450.0,129.0,92.0,1.4021739130434785,0.0645,11.02,81.6,86,84,18,1.000596
625.0,83.3,12.0,6.941666666666666,0.0833,17.3,90.5,76,76,16,0.3981313
314.0,99.2,300.0,0.3306666666666666,0.0496,51.3,119.8,43,70,90,0.4474733
314.0,98.8,300.0,0.3293333333333333,0.0494,83.77,89.0,69,68,135,0.5957398
460.0,51.5,36.0,1.4305555555555556,0.0515,3.98,59.3,70,372,5,0.8660321
604.0,306.6,600.0,0.511,0.07665,66.47,110.2,71,78,87,3.03364
536.0,184.9,84.0,2.2011904761904764,0.09245,79.4,129.8,108,113,111,1.057401
324.0,66.2,31.0,2.135483870967742,0.0662,45.4,93.1,14,56,154,0.8130776
314.0,98.8,300.0,0.3293333333333333,0.0494,29.82,94.8,42,68,46,0.5957398
604.0,208.7,550.0,0.3794545454545454,0.052175,31.58,99.7,53,48,54,1.265589
320.0,162.0,500.0,0.324,0.081,97.32,29.8,129,120,125,1.815297
350.0,35.6,13.0,2.7384615384615385,0.0593333333333333,84.77,113.3,91,0,0,11.56194
450.0,95.8,72.0,1.3305555555555555,0.0958,38.39,84.5,55,49,226,1.355596
625.0,83.3,12.0,6.941666666666666,0.0833,58.48,67.5,73,74,40,0.3981313
146.0,188.4,1600.0,0.11775,0.0471,22.64,60.4,137,131,32,0.5068955
460.0,51.5,36.0,1.4305555555555556,0.0515,38.81,78.7,7,3,81,0.8660321
320.0,108.2,343.0,0.3154518950437318,0.0541,23.1,94.1,15,82,44,2.006101
536.0,168.4,16.0,10.525,0.0842,88.67,79.5,77,92,193,2.792194
450.0,129.0,92.0,1.4021739130434785,0.0645,13.39,91.6,49,86,24,1.000596
580.0,264.5,413.0,0.6404358353510896,0.066125,41.41,106.5,180,81,68,3.708582
294.0,76.2,11.0,6.927272727272728,0.0762,55.92,120.7,69,73,77,0.08812822
536.0,168.4,16.0,10.525,0.0842,79.94,130.6,95,92,175,2.792194
450.0,95.8,72.0,1.3305555555555555,0.0958,17.86,123.5,56,34,100,1.355596
620.0,189.8,266.0,0.7135338345864662,0.0949,93.11,55.6,42,89,182,0.3338742
314.0,113.8,350.0,0.3251428571428571,0.0569,0.82,38.2,0,0,0,0.3047607
560.0,199.5,111.0,1.7972972972972974,0.09975,74.13,118.2,109,125,82,3.457263
314.0,99.2,300.0,0.3306666666666666,0.0496,54.78,113.4,13,69,97,0.4474733
560.0,55.8,10.0,5.58,0.0557999999999999,61.99,77.4,52,4,82,2.042118
460.0,111.0,115.0,0.9652173913043478,0.0555,22.39,111.4,134,2175,1,17.20203
350.0,35.6,13.0,2.7384615384615385,0.0593333333333333,0.29,29.1,0,0,0,11.56194
604.0,258.8,400.0,0.647,0.0647,71.49,129.8,64,66,170,2.080513
350.0,35.6,13.0,2.7384615384615385,0.0593333333333333,25.57,129.7,46,0,0,11.56194
314.0,97.4,300.0,0.3246666666666666,0.0487,52.17,119.8,18,73,88,0.4555725
625.0,83.3,12.0,6.941666666666666,0.0833,38.41,130.3,77,1178,27,0.3981313
324.0,66.2,31.0,2.135483870967742,0.0662,31.29,136.1,9,59,101,0.8130776
800.0,66.0,49.0,1.346938775510204,0.066,19.57,80.5,28,24,69,0.4358755
350.0,35.0,87.0,0.4022988505747126,0.0583333333333333,17.59,76.6,102,0,0,3.341123
324.0,38.8,96.0,0.4041666666666666,0.0387999999999999,82.7,79.5,64,325,107,0.2916726
350.0,35.0,87.0,0.4022988505747126,0.0583333333333333,49.07,135.2,60,0,0,3.341123
324.0,44.6,41.0,1.0878048780487806,0.0446,70.99,83.7,67,266,95,0.7530965
190.0,87.6,456.0,0.1921052631578947,0.0219,40.0,88.7,81,96,49,1.338738
324.0,78.3,25.0,3.132,0.0783,50.49,124.8,66,129,259,5.306342
536.0,184.9,84.0,2.2011904761904764,0.09245,54.49,68.7,109,113,80,1.057401
536.0,184.9,84.0,2.2011904761904764,0.09245,56.48,68.4,68,113,82,1.057401
320.0,20.2,47.0,0.4297872340425532,0.0336666666666666,22.56,71.9,69,0,0,1.343926
460.0,46.4,3.0,15.466666666666669,0.0464,8.49,56.9,62,60,8,1.068646
800.0,167.0,84.0,1.988095238095238,0.0835,4.37,27.0,74,75,2,7.266841
625.0,218.2,14.0,15.585714285714284,0.1090999999999999,94.05,43.3,14,89,207,0.5479724
314.0,98.8,300.0,0.3293333333333333,0.0494,61.84,89.0,10,67,98,0.5957398
314.0,44.6,35.0,1.2742857142857142,0.0743333333333333,45.37,120.7,55,0,0,0.5272802
604.0,258.8,400.0,0.647,0.0647,7.85,46.2,64,72,10,2.080513
625.0,220.3,201.0,1.0960199004975124,0.11015,50.46,68.9,107,102,80,0.9501897
324.0,66.2,31.0,2.135483870967742,0.0662,41.72,107.5,3,58,139,0.8130776
